PageRank,Dijkstra,WCC,LPA
0.8463491201400757,0.018188054302707316,0.043704260140657425,0.046863144263625145
0.8581791762262583,0.01873788196593523,0.050262754783034325,0.050084469839930534
0.833803215995431,0.018412449104711414,0.04311939887702465,0.044231874868273735
0.8492411728948355,0.018063190147280694,0.04530949518084526,0.03831210918724537
0.8297524377703667,0.01817362099699676,0.04199625924229622,0.0424269437789917
0.8518349379301071,0.01813427612185478,0.04236225597560406,0.03882160782814026
0.8403037376701832,0.018122957425191998,0.04147658683359623,0.04365234263241291
0.8404549825936556,0.018327811112627386,0.041956858709454536,0.04381413199007511
0.852528914809227,0.01807723823376,0.042125029489398,0.039721639826893806
0.8274887129664421,0.018240561325103044,0.042363254353404045,0.04688385874032974
0.8192597609013319,0.01843466341495514,0.043441591784358025,0.045086659491062164
0.8279739413410425,0.01850759015791118,0.043120719492435455,0.040019549429416656
0.8667695820331573,0.01820632489770651,0.04740896448493004,0.04641726240515709
0.8709779530763626,0.01792374310642481,0.04392422363162041,0.042578140273690224
0.8301148470491171,0.018557614743709563,0.04197631776332855,0.04537409171462059
0.8376686424016953,0.01814239466935396,0.042684534564614296,0.05771967023611069
0.8202604651451111,0.01844560926221311,0.04213077574968338,0.03848590515553951
0.8439439740031958,0.01832908465899527,0.04390818253159523,0.05040595307946205
0.8423181641846895,0.018181459253653883,0.06125359982252121,0.04425085708498955
0.8439684007316828,0.018055749747902156,0.0442582443356514,0.04413290694355965